ID,Classroom,Building,Room Number,Room Type,WD Room Type,Department,Seating Capacity,Technology/Equipment Additional Notes,Technology Details,PC CCID,Computer System,Operating System,Optical Drive (DVD/Blu-Ray),Wireless Projection (Solstice),Number of Lab Computers,Record / Stream,Video Conferencing (Zoom Room),Is Venue,Description,Equipment,Features,Seating (Fixed/Open),Seating (capacity),Microphones
19,Grossman 209/210,Davis Connects,209/210,All,Venue,,42,,,,,,,,,,,Yes,"A flexible space that can be arranged in multiple layouts to accommodate many uses. Modular furniture and extensible technology make this room a good meeting for Zoom conferencing, large-screen presentations, and medium to large meetings.","2 microphones, Built in Mac mini, Projector","HDMI input, Modular room configuration",Fixed,42,2
20,Lorimer Chapel 107,Lorimer Chapel,107,,Venue,,600,,,,,,,,,,,Yes,"One of the largest venues on campus, LorimerÕs formal atmosphere and high ceiling lend it grandeur. Pews can be moved to accommodate instruments at the front of the seating area. One of few campus rooms with no installed projection.","2 microphones, Podium with mic",Large space,Fixed,600,2
21,Mary Low 005,Mary Low Coffee House,5,Coffee house,Venue,,32,,,,,,,,,,,Yes,,Projector,HDMI input,Fixed,32,0
22,Roberts Dining Hall,Roberts,,Dining Hall,Venue,,275,,,,,,,,,,,Yes,"Roberts Dining Hall has a distributed sound system, with installed wireless and wired microphones. Amplified sound is audible throughout the open seating area.","2 microphones, Projector",Large Space,Fixed,275,2
23,Roberts 034,Roberts,34,Private Conference Room,Venue,,20,,,,,,,,,,,Yes,A mid-sized private dining room appropriate for a meeting or seated presentation.,Wall mounted monitor,HDMI input,Fixed,20,0
24,Roberts 111,Roberts,111,Smith/Hurd/Robins,Venue,,100,,,,,,,,,,,Yes,"The Smith, Robins, and Hurd rooms can be combined in different configurations. Each contains in-room projection and sound, and allows for the connection of microphones.",Projector,"Large modular space, HDMI input",Fixed,100,0
25,SSWAC 104,SSWAC,104,Parker Reed,Venue,,130,,,,,,,,,,,Yes,Parker-Reed is a handsome ballroom whose appeal is steeped in its natural light and view of the campus quad. The roomÕs furniture and technology can be configured to create several types of user experience.,"4 microphones, Podium with mic, Built in Mac mini, Projector, Solstice","Large modular space, HDMI input",Fixed,130,4
26,SSWAC 106,SSWAC,106,Marchetti,Venue,,20,,,,,,,,,,,Yes,This good-sized conference room is well-suited to a medium-to-large meeting and can easily accommodate tables for food service.,Projector,HDMI input,Fixed,20,0
27,SSWAC 202,SSWAC,202,Aldrich,Venue,,6,,,,,,,,,,,Yes,This small conference room has built-in one-touch Zoom capacity.,"Wall mounted monitor, Built in Mac mini, PTZ camera",HDMI input,Fixed,6,0
28,SSWAC 203,SSWAC,203,Carol Johnson,Venue,,130,,,,,,,,,,,Yes,This small conference room has built-in one-touch Zoom capacity.,"Built in Mac mini, Wall mounted monitor, PTZ camera",HDMI input,Fixed,130,0
